what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1279712355187
started,bundle,org.eclipse.osgi,3.5.2.R35x_v20100126,"org.eclipse.osgi",1279712355203
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1279712355203
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1279712355203
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1279712355203
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1279712355203
started,bundle,org.eclipse.core.expressions,3.4.101.R35x_v20100209,"org.eclipse.core.expressions",1279712355203
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1279712355203
started,bundle,org.eclipse.core.jobs,3.4.100.v20090429-1800,"org.eclipse.core.jobs",1279712355203
started,bundle,org.eclipse.core.net,1.2.1.r35x_20090812-1200,"org.eclipse.core.net",1279712355203
started,bundle,org.eclipse.core.resources,3.5.2.R35x_v20091203-1235,"org.eclipse.core.resources",1279712355203
started,bundle,org.eclipse.core.runtime,3.5.0.v20090525,"org.eclipse.core.runtime",1279712355203
started,bundle,org.eclipse.core.runtime.compatibility,3.2.0.v20090413,"org.eclipse.core.runtime.compatibility",1279712355203
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.100.v20090413,"org.eclipse.core.runtime.compatibility.auth",1279712355203
started,bundle,org.eclipse.ecf,3.0.0.v20090831-1906,"org.eclipse.ecf",1279712355203
started,bundle,org.eclipse.ecf.filetransfer,3.0.0.v20090831-1906,"org.eclipse.ecf.filetransfer",1279712355203
started,bundle,org.eclipse.ecf.identity,3.0.0.v20090831-1906,"org.eclipse.ecf.identity",1279712355203
started,bundle,org.eclipse.ecf.provider.filetransfer,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer",1279712355218
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,3.0.1.v20090831-1906,"org.eclipse.ecf.provider.filetransfer.httpclient",1279712355218
started,bundle,org.eclipse.epp.usagedata.gathering,1.1.1.R201001291118,"org.eclipse.epp.usagedata.gathering",1279712355218
started,bundle,org.eclipse.epp.usagedata.recording,1.1.1.R201001291118,"org.eclipse.epp.usagedata.recording",1279712355218
started,bundle,org.eclipse.equinox.app,1.2.1.R35x_v20091203,"org.eclipse.equinox.app",1279712355218
started,bundle,org.eclipse.equinox.common,3.5.1.R35x_v20090807-1100,"org.eclipse.equinox.common",1279712355218
started,bundle,org.eclipse.equinox.ds,1.1.1.R35x_v20090806,"org.eclipse.equinox.ds",1279712355218
started,bundle,org.eclipse.equinox.frameworkadmin,1.0.100.v20090520-1905,"org.eclipse.equinox.frameworkadmin",1279712355218
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.101.R35x_v20091214,"org.eclipse.equinox.frameworkadmin.equinox",1279712355218
started,bundle,org.eclipse.equinox.p2.core,1.0.101.R35x_v20090819,"org.eclipse.equinox.p2.core",1279712355218
started,bundle,org.eclipse.equinox.p2.director,1.0.101.R35x_v20100112,"org.eclipse.equinox.p2.director",1279712355218
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.100.v20090525,"org.eclipse.equinox.p2.directorywatcher",1279712355218
started,bundle,org.eclipse.equinox.p2.engine,1.0.102.R35x_v20091117,"org.eclipse.equinox.p2.engine",1279712355218
started,bundle,org.eclipse.equinox.p2.exemplarysetup,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.exemplarysetup",1279712355218
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.garbagecollector",1279712355218
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.0.101.R35x_v20090812,"org.eclipse.equinox.p2.metadata.repository",1279712355218
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.reconciler.dropins",1279712355218
started,bundle,org.eclipse.equinox.p2.repository,1.0.1.R35x_v20100105,"org.eclipse.equinox.p2.repository",1279712355218
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.scheduler",1279712355234
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.0.v20090520-1905,"org.eclipse.equinox.p2.updatechecker",1279712355234
started,bundle,org.eclipse.equinox.preferences,3.2.301.R35x_v20091117,"org.eclipse.equinox.preferences",1279712355234
started,bundle,org.eclipse.equinox.registry,3.4.100.v20090520-1800,"org.eclipse.equinox.registry",1279712355234
started,bundle,org.eclipse.equinox.security,1.0.100.v20090520-1800,"org.eclipse.equinox.security",1279712355234
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,1.0.101.R35x_v20100209,"org.eclipse.equinox.simpleconfigurator.manipulator",1279712355234
started,bundle,org.eclipse.equinox.util,1.0.100.v20090520-1800,"org.eclipse.equinox.util",1279712355234
started,bundle,org.eclipse.help,3.4.1.v20090805_35x,"org.eclipse.help",1279712355250
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1279712355250
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1279712355250
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1279712355265
started,bundle,org.eclipse.jface,3.5.2.M20100120-0800,"org.eclipse.jface",1279712355265
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1279712355265
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1279712355265
started,bundle,org.eclipse.team.core,3.5.1.r35x_20100113-0800,"org.eclipse.team.core",1279712355265
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1279712355265
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1279712355265
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1279712355265
started,bundle,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui",1279712355281
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1279712355281
started,bundle,org.eclipse.ui.editors,3.5.0.v20090527-2000,"org.eclipse.ui.editors",1279712355281
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1279712355281
started,bundle,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.ide",1279712355281
started,bundle,org.eclipse.ui.intro,3.3.2.v20100111_35x,"org.eclipse.ui.intro",1279712355281
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1279712355281
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1279712355281
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1279712355281
started,bundle,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"org.eclipse.ui.workbench",1279712355281
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.workbench.texteditor",1279712355281
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1279712355281
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1279712355296
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1279712355296
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1279712355296
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1279712355296
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1279712355296
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1279712355296
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1279712355296
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1279712355296
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1279712355296
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279712355312
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1279712355312
os,sysinfo,,,"win32",1279712355312
arch,sysinfo,,,"x86",1279712355312
ws,sysinfo,,,"win32",1279712355312
locale,sysinfo,,,"es_ES",1279712355312
processors,sysinfo,,,"4",1279712355312
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279712355312
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1279712355312
java.specification.name,sysinfo,,,"Java Platform API Specification",1279712355312
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279712355312
java.specification.version,sysinfo,,,"1.6",1279712355312
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1279712355312
java.version,sysinfo,,,"1.6.0_20",1279712355312
java.vm.info,sysinfo,,,"mixed mode, sharing",1279712355312
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1279712355312
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279712355312
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279712355312
java.vm.specification.version,sysinfo,,,"1.0",1279712355312
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1279712355312
java.vm.version,sysinfo,,,"16.3-b01",1279712355312
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1279712356828
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1279712356843
closed,view,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.internal.introview",1279712356890
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712361421
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712361421
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712361484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712364906
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712367437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712367437
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712367796
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712371078
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1279712380312
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1279712380515
opened,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1279712380562
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1279712380859
opened,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1279712381125
activated,perspective,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1279712381156
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1279712381187
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.perspectives.showPerspective",1279712381187
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugPerspective",1279712381187
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712383828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712383828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712383906
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712393703
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712399015
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712407218
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712410156
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712412109
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.RunLast",1279712412109
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712418890
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712420812
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1279712420828
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712422687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712428093
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712432734
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712435078
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712437984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1279712444125
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1279712446703
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1279712446718
